Název,Provozovatel,IČO,Bezbariérovost,Poznámka k bezbariérovosti,Typ kina,Počet sálů,Kapacita,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Letní kino Dobruška,Město Dobruška,00274879,ANO,není bezbariérové WC,kino s letním provozem,1,500,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,Archlebovy sady,,č.p.,,518 01    ,https://www.mestodobruska.cz/mesto/kultura-a-sport/kulturni-a-sportovni-akce/letni-kino-dobruska-2382_1363cs2048.html,POINT(50.2875 16.1624),16.1624,50.2875,KINA37,37,1799190.13799721,6496215.45525198
Letní kino Dvůr Králové nad Labem,"Hankův dům, MKZ Dvůr Králové nad Labem",13583051,ANO,bezbariérové WC,kino s letním provozem,1,40,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Schulzovy sady,,č.p.,,544 01    ,https://www.kino-svet.cz/,POINT(50.4337 15.8199),15.8199,50.4337,KINA38,38,1761063.21240052,6521726.59672403
Letní kino Ledce,Klub netradičních nápadů Ledce,46460942,NE,není bezbariérové WC,kino s letním provozem,0,250,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Ledce,576433,Ledce,,č.p.,,517 71    ,http://www.knnledce.cz/index.php?id=letni-kino,POINT(50.2239 16.0458),16.0458,50.2239,KINA39,39,1786210.28537071,6485142.04869215
Letní kino Police nad Metují,Město Police nad Metují (CKV Pellyho domy),00272949,ČÁSTEČNĚ,bezbarérové WC,kino s letním provozem,1,200,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují,574341,Malá Ledhuj,,č.p.,,549 54    ,https://www.pellyhodomy.cz/,POINT(50.5406 16.2330),16.233,50.5406,KINA40,40,1807049.29404722,6540429.99443968
Letní kino Rabštejn,Sdružený klub Rabštejn,46459731,ANO,není bezbariérové WC,kino s letním provozem,1,200,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Kostelec nad Orlicí,576361,Palackého náměstí,36,č.p.,,517 41    ,www.skrabstejn.cz,POINT(50.1234 16.2105),16.2105,50.1234,KINA41,41,1804544.60550436,6467674.03716718
Letní kino Rozkoš,Pavel Mědílek,68510021,ANO,bezbariérové WC,kino s letním provozem,1,1000,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Česká Skalice,573990,Autokemp Rozkoš,,č.p.,,552 03    ,https://www.kinorozkos.atcrozkos.cz/,POINT(50.3979 16.0669),16.0669,50.3979,KINA42,42,1788559.12662645,6515472.41250924
Letní kino Širák,Hradecká kulturní a vzdělávací společnost s.r.o,27472809,ANO,bezbariérové WC,kino s letním provozem,1,800,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Orlické nábřeží,1271,č.p.,2,500 03    ,https://www.letnikinosirak.cz/,POINT(50.2055 15.8357),15.8357,50.2055,KINA43,43,1762822.06035505,6481941.17598412
Letní kino Teplice nad Metují,Město Teplice nad Metují,00273139,ANO,není bezbariérové WC,kino s letním provozem,1,100,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Teplice nad Metují,574538,,,,,549 57,https://www.teplicenadmetuji.cz/volny-cas/akce-u-nas/,POINT(50.5935 16.1676,16.1676,50.5935,KINA44,44,1799768.99934934,6549701.14613432
Letní kino Tripsi Vrchlabí,BONITAIMAGE o.s.,22711520,ANO,není bezbariérové WC,kino s letním provozem,0,600,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Dobrovského,,č.p.,,543 03    ,https://letni-kino-vrchlabi.cz/,POINT(50.6254 15.6073),15.6073,50.6254,KINA45,45,1737396.68865787,6555296.91487701
Letní kino v Amfiteátru na Bojišti,Bojiště s.r.o.,06595103,ANO,bezbariérové WC,kino s letním provozem,1,3000,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Královédvorská,,č.p.,,541 01    ,https://www.bojistetrutnov.cz/,POINT(50.5532 15.9070),15.907,50.5532,KINA46,46,1770759.14004861,6542637.30197116
Letní kino Vysokov,Obec Vysokov,00653497,ANO,bezbariérové WC,kino s letním provozem,1,80,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Vysokov,574643,,,č.p.,,547 01    ,https://www.vysokov.cz/volny-cas/akce-v-okoli/letni-kino-36_30cs1799.html,POINT(50.4035 16.1161),16.1161,50.4035,KINA47,47,1794036.04557348,6516450.40889148
Letní PFERDA,PFERDA z.ú.,26657431,ANO,bezbariérové WC,kino s letním provozem,1,40,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Hurdálkova,371,č.p.,,547 33    ,https://www.pferda.cz/aktuality/letni-filmove-ctvrtky-v-nachode.html,POINT(50.4161 16.1656),16.1656,50.4161,KINA48,48,1799546.36036775,6518651.32334938
Městské kino Borohrádek,Město Borohrádek,00274739,NE,není bezbariérové WC,kino s nepravidelným provozem,1,80,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí,5208,Borohrádek,576131,Husova,240,č.p.,,517 24    ,https://www.mestoborohradek.cz/kino,POINT(50.0951 16.0892),16.0892,50.0951,KINA49,49,1791041.55127114,6462761.80400661
Novopacké retro kino,BIO pro Novou Paku z.s.,02506335,ANO,není bezbariérové WC (šíře zárubní nesplňuje požadované normy),kino se stálým provozem,1,230,Královéhradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,Lomnická,60,č.p.,,509 01    ,https://www.penzion-novopackesklepy.cz/hudebni-sklepy/program-kina/,POINT(50.4963 15.5138),15.5138,50.4963,KINA50,50,1726988.31626869,6532674.0594485
Smidarské letní kino,Lukáš Hloucal,03758851,NEZJIŠTĚNO,NEZJIŠTĚNO,kino s letním provozem,1,150,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Skřivany,570834,V Sádku,314,č.p.,,503 52 ,https://www.facebook.com/events/5149463851849295/,POINT(50.2714 15.4967),15.4967,50.2714,KINA51,51,1725084.75297613,6493410.88377817
